step,eval_return,eval_length,mse_mean,ssim_mean,head_error_mean,body_accuracy_mean,food_correct_mean,mse_std,ssim_std,head_error_std,body_accuracy_std,food_correct_std
15000,-2.964800179004669,1883.8,0.0070905510354480365,0.5900343854770542,7.647508335066893,0.30558096980786825,0.0,0.0021411797186815223,0.03564139957091203,3.988612401685948,0.3676210381453349,0.0
25000,-3.499000358581543,2000.0,0.003399272899784907,0.7821990004330408,0.7526325864574287,0.8897529734675206,0.07959743824336687,0.0012384199668076673,0.04245898811429327,2.5333753506709247,0.20005262592306466,0.27066896029737186
35000,-2.6726001620292665,1637.3,0.003307210223401778,0.8906453413104349,0.22308181804642838,0.9370234827691368,0.12168344007319305,0.001647877213768334,0.025413958359410228,1.4664925733498968,0.1433830943982706,0.32691983801101254
45000,-3.3342003405094145,1817.6,0.0031958790287440328,0.9107067850211789,0.17792510151418076,0.9667581579749924,0.17932296431838976,0.0017449647776762711,0.03372960616830263,1.3098956627427283,0.10362442528912391,0.3836225212190432
55000,-3.7996004104614256,2000.0,0.0030752305389521247,0.9346305995795787,0.04757548032936871,0.9693504117108874,0.18847209515096067,0.0017861828727346032,0.02485714672471469,0.6760347191280114,0.10158305228842383,0.391088691348098
65000,-3.7996004581451417,2000.0,0.0024090505436434734,0.9499129239930162,0.12023258331415655,0.9810917962793534,0.3613906678865508,0.0019466925822961027,0.02778597053574894,1.0847861357476583,0.07969844692721764,0.4804034273931271
75000,-2.1606001973152162,1682.1,0.002607337321422178,0.9543700969275629,0.09149130832570906,0.9743824336688015,0.32479414455626715,0.001931002492646239,0.025671873542178515,0.9521252143273701,0.08964047404051927,0.46829788406337025
85000,-2.5274002492427825,1414.6,0.0024618533899791375,0.9600594294736138,0.08325709057639524,0.9788045135712107,0.3870082342177493,0.002002868890586027,0.023528658899310318,0.9041044988735497,0.08180560038845053,0.4870655611572317
95000,-2.7976002216339113,2000.0,0.0028993999879519273,0.9550710439838657,0.13906678865507777,0.9788045135712109,0.38243366880146384,0.002435705444574006,0.029071480458472517,1.1639844841514486,0.08303896840289161,0.4859816434480999
105000,-1.2754000544548034,1239.7,0.0024423979205191217,0.9589805537627177,0.08234217749313816,0.953949374809393,0.4400731930466606,0.002177442693145874,0.026474118679121045,0.9036822122500087,0.1150197735888191,0.49639578746034624
115000,0.8020001769065856,102.0,0.002433280999398387,0.9582673120951258,0.10978956999085086,0.9762122598353157,0.4656907593778591,0.002119852663424621,0.030038831410798543,1.042037403469632,0.08581019834156611,0.49882148711531266
125000,-3.3988003849983217,2000.0,0.0025007670737356904,0.9583493491168867,0.1463860933211345,0.9827691369319913,0.46203110704483075,0.002214140796472726,0.029051954269281057,1.2010129245322556,0.07431662759799548,0.4985562788369623
135000,-3.398800277709961,2000.0,0.002451335435081087,0.9612419901424022,0.07502287282708142,0.9795669411405917,0.42268984446477587,0.0020596247053893614,0.02637966239819886,0.8533064287376245,0.08090732500414856,0.4939869834834916
145000,1.0568002343177796,175.0,0.002302141625777427,0.9607865453089431,0.07319304666056725,0.9624885635864593,0.4693504117108875,0.0021379958888491342,0.0303974314548259,0.8523926586534029,0.10534089555362532,0.49905971860861287
155000,-0.8920000791549683,1248.4,0.0024965560896789657,0.9601549037982117,0.05489478499542543,0.9635559621835924,0.5004574565416285,0.0023846671947564896,0.03172552114726773,0.7388737460043904,0.104384325787177,0.4999997907334688
165000,-2.056000125408173,1629.6,0.0025663207589816787,0.9617198898616848,0.04574565416285453,0.9766697163769442,0.494967978042086,0.002354053753313832,0.028195313748804435,0.6748065476518126,0.08549094589891457,0.4999746781138172
175000,-1.8938001155853272,1698.8,0.0022172069306693877,0.9640118196274409,0.055809698078682524,0.9792619701128394,0.6331198536139067,0.0023573997909930302,0.030177701000132447,0.7394241277087714,0.08511779082444346,0.48195342573096417
185000,0.955200144648552,776.5,0.0023686526109172458,0.9613426910466146,0.2012808783165599,0.9939005794449527,0.5690759377859104,0.0022443491039894382,0.02959861667214455,1.4043841323475974,0.04689617545610728,0.4952055278558561
195000,0.3208000659942627,692.9,0.0023651713428507596,0.9648111655634136,0.018298261665141813,0.9914608112229338,0.5663311985361391,0.002267643900365378,0.02708064141867615,0.42737312768990526,0.052663825478706794,0.49558064137005925
205000,0.31420001983642576,846.1,0.002720934779078195,0.9574610707754588,0.028362305580969808,0.9663007014333637,0.4501372369624886,0.002240186601349024,0.031182330753113566,0.524008032078246,0.10086475873795993,0.49750749226746827
215000,-1.0480000406503678,1376.5,0.0027811190373624134,0.960727867593715,0.06404391582799634,0.9980176883196096,0.4501372369624886,0.0025639028703559478,0.030700770147389825,0.7977076752328386,0.02707551952354746,0.49750749226746827
227411,-2.9422003030776978,1972.3,0.0019925477646022018,0.9701529240390867,0.03751143641354071,0.9752973467520586,0.6376944190301921,0.0025195466312764314,0.03184314054570292,0.6045436613878987,0.09074105315308231,0.4806664612472331
